⇣HP model     /     dB→,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1K,1.25K,1.6K,2K,2.5K,3.15K,4K,5K,6.3K,8K,10K,12.5K,16K,20K,
Audeze LCD-2 Or,-3.3,-2.8,-1.8,-1.8,-2.1,-1.9,-1.8,-1.7,-1.7,-1.7,-1.6,-1.7,-2.1,-1.8,-1,-0.4,0,0,-0.3,1.5,1.5,2.6,4,-0.6,-1.8,2.8,-1.8,-2.2,-4.9,-11.1,-5.1,
Audeze LCD-X IF,-4.7,-3.9,-0.3,0.1,0,-0.3,-0.3,-0.1,-0.3,-0.5,-0.2,-0.4,0,-0.3,0.1,-0.5,0,0,-0.7,1.3,3.5,5.3,6.2,4.7,4.5,0.9,-3.1,0.5,-3.1,-4,-4,
Audio-T M40x Rt,-0.3,1.2,2.7,3.8,4.3,4.20,3.2,3.7,4.3,2.90,1.1,-1.6,-3.8,-3.7,-3.2,-2.2,-1.4,0,2.2,3.8,5.3,7.20,8.3,6.1,3.4,0.9,7.7,4.6,-1.1,1.3,-9.10,
Audio-T M40x Or,-15.6,-12.5,-9.2,-6,-3.2,-2.4,-0.6,-15.6,0.1,1.6,2.7,3.2,3.10,2.1,2.6,3.2,1.80,0,-2.7,-4.9,-4.8,-4.3,-3.3,-2.5,-1.1,1.1,2.7,4.2,6.10,7.2,5,
Audio-T M50x Or,0.8,1.7,2.5,2.7,2.3,1.2,1,1.6,1.30,0.6,-0.9,-3.9,-5.6,-4.4,-2.5,-1.3,-0.4,0,0.7,2.2,6.3,8.4,7.4,6.7,2.3,-2.1,1.5,0.1,-0.5,-8.3,-11.6,
AT M50x Cr,3.80,5.10,5.40,6.40,5.70,4.40,3.30,2.10,2.50,1.80,-0.70,-2.70,-3.40,-1.50,-0.50,0.10,0.80,0.00,0.00,1.50,6.60,10.50,9.80,7.80,3.10,3.80,3.60,-0.50,-3.20,-1.20,-11.20,
Beats Solo HD IF,8.4,8,7.4,6.5,4.7,0.5,9,7,5.5,4,1.9,1,0,-3.7,-3.9,-2.2,-0.8,0,0.3,0,0.2,1.5,5.1,4.8,0.5,-10.5,-11.5,-8.5,-15.5,-19.5,-19.5,
Beats Solo3 Wireless Rt,10,10,10,9.5,9.5,9.5,9,9,8.5,8,7,5,2,1,0.5,-0.5,-1,0,2,4.5,7,10,14,9,7,6,7,2,-3,-8,-13,
bey DT 770/80 Or,-9.2,-7.3,-5.9,-5.1,-5.3,-5.3,-7,4.8,7.3,4.6,3.2,2.2,1.4,0.8,0.2,-0.2,-0.2,0,1.5,3.7,7.3,8.3,6,2.3,2.5,4,5.9,-2.3,1.7,-9.9,-20.6,
bey DT 770/250 Or,5.8,6.5,7,7.2,7,6.2,3.8,-2.7,2.4,-0.2,-6.4,-6.1,-4,-2.9,-2.3,-2.3,-1.4,0,-0.8,1.2,3.9,6.6,3.4,6.1,6.1,9.2,5,-0.9,4.3,-1.7,-10.8,
bey DT 880/250 IF,-5.30,-4.1,-2.6,-2,-1.2,-0.5,-0.7,0.3,0.4,0.6,0.8,0.8,0.6,0.4,0.5,0,0.2,0,0,1.1,3.2,5.6,9.6,6.8,2.8,4.7,4.1,3.9,-4.8,-13.8,-3.4,
bey DT 990/250 Or,-2.8,-1.4,0,1.3,2.3,2.9,3.1,2.5,2.6,2,1.3,0.2,-0.9,-1.9,-1.7,-2.1,-1.9,0,1.6,2.8,5.2,8.8,10.7,10.5,10.1,10.8,11.5,4.2,7.1,2.4,-3.1,
bey DT 1770 L pads Rt,5.7,6.1,5.8,5.1,4.2,5.3,7.1,7.6,7.80,6,1.30,-2.7,-1.4,-0.4,-0.1,-0.4,-0.3,0,0.2,-0.1,-0.1,2.1,2.7,0.5,1.1,5.9,5.6,0.1,-4.5,-18.6,-26.4,
bey DT 1990 A pads Or,-2.2,-1.6,-1,-0.5,0,0.3,0.5,0.6,0.8,1.20,1.2,1.3,1.1,0.8,0.5,0.2,-0.10,0,1.3,3.3,5.1,8,7.8,4.1,6.9,5.9,12.7,1,1.70,1.8,-13.5,
Creative Aur Live 2 IF,4.7,5.4,5.8,6,6,5.7,4.8,4.9,4.4,3.8,3.6,2.9,1.7,-0.7,-0.3,0.2,0.8,0,-1.2,-2.80,-2.4,0.3,1.9,2.7,-1.4,-3,-2.3,2.1,-12.1,-8.5,-9.2,
DCA Aeon Cl. v1 Or,0.9,1,1.2,1.3,1.3,0.3,0.6,0,-1.3,-2.8,-1.5,-1,-0.7,-0.7,0.4,0.9,1.2,0,1.4,2.3,2.4,4.3,6.7,6.3,1.7,2.3,3.7,-2.5,-2.8,-14,-9,
DCA Aeon Cl v2 Or,5.1,5.4,5.6,5.4,5.2,4.6,4.4,5.4,4.7,1.9,0,1.2,1.9,2.2,1.5,0.8,0.6,0,1.4,0.7,1.7,3.3,4.2,3.1,5.6,7.1,4.4,-8.6,-0.4,-0.1,-2.9,
Focal Clear Or,-4.00,-3.30,-2.70,-2.20,-1.90,-1.60,-1.50,-1.50,-1.70,-2.00,-2.30,-2.60,-2.70,-2.80,-2.70,-2.3,-1.3,0,2.10,2.80,3.20,5.10,7.40,2.50,1.90,0.90,-4.40,-10.20,-2.00,-5.60,-13.40,
Focal Elear Or,-2.50,-1.5,-1.1,-0.60,-0.4,-0.3,-0.1,-0.2,-0.3,-0.60,-0.8,-1.1,-1.30,-1.4,-1.3,-1,-0.4,0,0.9,2.5,1.9,4.1,4.5,-0.4,-1.6,0.5,-6.9,-8.9,-9.7,-13.3,-13.5,
Focal Elear Rt,-7.50,-6.20,-4.80,-3.30,-2.20,-1.20,-0.6,-0.50,-0.40,-0.60,-1.1,-1.60,-1.80,-2.00,-1.80,-1.50,-0.8,0,1.30,3.10,4.80,7.20,7.90,-2.40,-4.00,0.20,2.70,-6.4,-4.20,-6.90,-3.00,
Focal Elegia Or,-0.1,0,-0.1,-0.7,-0.8,-0.9,1.2,1.5,-2.8,-3.6,-3.3,-2.1,-1.2,-1.1,-0.8,-0.9,-0.5,0,0.5,3.1,2.7,5.5,4,-6.8,-3.1,0.1,0.1,-8.9,-2.9,-10.6,-8.5,
Focal-Drop Elex Or,-3,-2.1,-2.1,-1.5,-1.2,-0.9,-0.8,-0.8,-1,-1.4,-1.7,-2.1,-2.4,-2.5,-2.4,-2.1,-1.2,0,1.9,2.5,1.8,3.8,6.8,5.5,4.6,1.7,-5.9,-6.5,-7.3,-8.2,-5.1,
Focal Utopia Or,-5.5,-4.9,-4.4,-3.9,-3.5,-3.2,-2.9,-2.7,-2.7,-2.6,-2.7,-2.8,-2.9,-3,-2.9,-2.4,-1.4,0,1.6,1,0.2,5.8,6.2,5.9,4.1,3.4,-2.6,-5.3,-7.9,-5.2,-5.7,
Fostex Purpleheart Or,-2.1,0.3,2,2.8,2.9,2.3,2,1.6,1.2,0.7,0.1,-0.4,-0.7,-0.1,-2.1,-3.3,-2.4,0,1.2,3.3,5.6,8.1,0,0.1,6.5,4.5,3,-1.8,-1,-11.1,-9.9,
Hifiman-Drop HE4XX Or,-11.4,-8.7,-6.6,-4.2,-2.6,-1.4,-0.8,-1,-1.5,-1.6,-1.9,-2,-2.2,-1.9,-2.5,-2.6,-1.3,0,0.3,-1.4,-0.5,7.6,10.8,7.3,1.9,6.1,7.1,-4.2,-10.1,1.8,-11.1,
HiFiman-Drop HE4XX IF,-2.4,-1.3,-0.4,-0.2,-0.10,0.6,0.5,0.3,0.1,-0.10,0.10,-0.2,0.1,0.3,-0.1,0.4,-0.1,0,-0.5,-0.4,0.9,6.4,11.4,7.9,5.1,5.6,4.2,2.8,-2.7,-10.7,-5,
Grado SR225e Rt,-9.70,-7.7,-5.3,-3.20,-1.6,-0.5,-0.2,-0.3,-0.6,-1.2,-1.7,-2,-1.7,-1.8,-1.5,-1.1,-0.6,0,1.1,3.9,12,13.7,11.4,6.3,7.4,5.8,9,10.5,3.8,-11,-22.9,
Hifiman Sundara IF,-3.3,-2.6,-2.1,-2,-2,-1.4,-1.3,-1.5,-1.8,-1.90,-1.7,-1.5,-1.2,-0.90,-1.3,-0.8,0.2,0,-0.7,-0.9,0.3,4.8,11.4,8.9,7.1,-0.2,0.1,-6.3,1.7,-10.7,-9.2,
Hifiman Sundara Or,-3.3,-2.30,-1.90,-1.60,-1.60,-1.40,-1.40,-1.40,-1.60,-1.80,-1.80,-1.60,-1.50,-1.50,-1.50,-0.5,0.3,0,-0.90,-1.20,-0.30,5.60,10.40,10.20,8.10,0.80,2.50,-5.00,0.30,-3.50,-17.20,
Hifiman Sundara Rt,-4.4,-3.1,-1.8,-1.1,-0.6,-0.3,-0.4,-0.5,-0.6,-0.8,-0.8,-0.7,-0.5,-0.2,-0.9,0.3,1.1,0,0.5,1.1,2.2,6.1,10.1,8.5,8.4,3.9,6.7,-1.8,0,-4.7,-9.8,
Hifiman Ananda Rt,-3.5,-2.8,-2,-1.4,-0.9,-0.6,-0.7,-1,-1,-1,-1.1,-1.2,-2.2,-1.2,-0.5,-0.5,-1.2,0,-1.4,-1.7,1.9,8,9.6,6.2,3.3,3.8,6.4,-7.9,-1.2,-4.4,-2.1,
Hifiman Arya Or,-0.8,-0.8,-0.8,-0.8,-0.8,-0.7,-0.6,-0.6,-0.4,-0.2,-0.8,-1,0.5,-0.9,1.2,-0.5,"-,8",0,0.1,-1.3,1.3,7.3,8.8,4.3,10,7.7,5.5,-3.1,2.3,-11.5,-10.1,
Koss Porta Pro Rt,-6.9,-4.7,-2.2,0.1,2,3.4,4.3,4.6,4.5,3.8,2.9,1.8,1.2,0.4,-0.1,-0.2,-0.3,0,1.4,4.2,7.2,9.3,8.7,-0.7,5.3,-1.5,0.6,0,-8.9,-15.3,-23.8,
Koss KSC75 Rt,-15.5,-12.9,-9.9,-7,-4.4,-1.8,0.3,1.3,1.7,1.3,0.5,0,-0.3,-0.7,-0.8,-0.7,-0.5,0,1.1,3.9,8.1,12.1,12,2.4,11.1,1.8,5.7,1.5,-3.8,-7.1,-9.50,
Meze 99 Classics Or,9.7,10.4,10.9,11.2,11.3,11.2,10.5,9.3,9.4,9.6,9.3,7.5,2.6,-0.2,1.7,2.8,2.1,0,2,5.7,8,8.3,7.3,2.7,13.9,11,8.2,-6,6.8,-4.3,-14.1,
Monoprice M1060,-1.8,-1.7,-1.2,-0.9,-0.4,0,-0.1,-0.1,-0.1,0,0.1,-0.1,-1.4,-1.8,-0.7,0.7,1.1,0,1.8,4.1,7.3,9.2,10.2,8.1,4.3,2,-5.7,-1.4,-4.9,-1.5,-1.5,
Neumann NDH 20 Or,8.4,8.9,9.3,9.2,8.8,7.8,5.9,4.6,4.7,4.1,3.1,2.4,1.6,1.1,1.3,1.4,1,0,-1.4,-1.5,0,3.1,8.2,11.1,8.2,5,7.5,-3.9,-6.2,-8.4,-7.4,
Oppo PM-3 Rt,3.00,2.40,1.80,1.20,0.90,1.40,2.20,2.60,2.7,2.30,1.40,0.10,-1.20,-1.50,-0.20,1.40,1.10,0,2.70,4.90,7.30,11.50,11.30,7.30,4.2,4.3,11.40,4.50,-4.5,-12.5,-13.10,
Oppo PM-3 Or,1.10,0.80,0.20,-0.60,-1.10,0.60,2.10,2.90,2.90,2.20,0.60,-1.40,-3.00,-3.1,-1.90,-0.70,-0.4,0,2.50,4.90,7.50,10.00,10.40,8.20,5.70,9.20,5.40,-11.80,2.20,-10.80,-17.50,
Philips SHP9500 Or,-9.9,-8.1,-6,-4.10,-2.6,-1.50,-1.1,-0.5,-0.5,-0.6,-0.2,-1.4,-1.7,-1.6,-1.5,-1.3,-0.6,0,0.8,1.5,2.20,4.7,8.3,9.5,10.8,12.4,-0.9,-0.2,1.6,-4.9,-16.6,
Sendy Aiva Cr,-6.7,-6,-5.2,-4.2,-3.5,-3,-3.2,-3.3,-3.3,-3.4,-3.3,-3.1,-2.7,-2,-2,-1.7,0,0,-0.5,-6.3,-2.5,3.5,5.5,-0.3,-2.5,-1.2,-6.1,-3.8,-4.5,-5.5,-12,
Senn-Drop HD 58X Or,-7,-5.3,-3.9,-2.7,-1.8,-1.2,-0.8,0,0.2,0,-0.2,-0.4,-0.5,-0.8,-0.9,-0.9,-0.6,0,1.2,1.5,1.9,3.3,6.6,6.1,7.4,1.1,-1.2,-7.2,-5.8,-11.4,-9.1,
Senn HD 579 RAA,-5.1,-3,-0.9,1.20,2.2,3.3,4.1,4.9,5.1,5.1,4.8,4.4,3.8,3.2,2.5,1.5,0.6,0,-1,-1.7,-0.2,1.7,5,7.1,9.7,10.8,1.1,-1.4,3.5,-6.9,-4.6,
Senn HD 599 Or,-7.5,-5.7,-3.9,-2.30,-1.4,-0.4,0.5,1.50,1.9,2,1.8,1.2,0.9,0.6,0.2,-0.2,-0.2,0,0.4,1.2,4.6,8.3,10.8,8.2,4.7,2.2,2.9,0,-7.7,-14.5,-9.6,
Senn HD 599 Rt,-3.7,-2.50,-1.10,-0.10,0.80,1.70,2.20,2.70,3.00,2.80,2.30,1.70,1.20,0.50,0.20,0.00,-0.2,0,0.00,-0.70,2.90,6.70,10.40,7.70,5.40,2.90,2.30,-3.40,-5.10,-11.60,-7.70,
Senn HD 600 Or,-6.7,-4.7,-3.3,-2.1,-1.30,-1.1,-0.3,0.2,0.2,-0.1,-0.5,-0.8,-1.1,-1.4,-1.4,-1.1,-1.2,0,1.4,2.7,5.2,7.8,10.6,6.4,6.3,4.8,2.7,-4.1,0,-5,-13,
Senn HD 650 Or,-6.7,-5.30,-3.90,-2.70,-2.30,-1.70,-0.20,0.60,0.80,1.00,0.80,0.50,0.40,0.20,0.10,0.1,0.5,0,1.30,2.10,3.80,6.70,9.10,5.70,5.30,2.70,0.90,-7.60,-7.20,-4.80,-12.80,
Senn-Drop HD 6XX IF,-9.3,-7.5,-6,-4.4,-3,-2.4,-1.3,0.2,0.6,0.9,0.9,0.5,0.2,-0.1,0.3,-0.2,0,0,1.7,2.7,3.7,6.3,10.1,7.5,2.7,-2.6,-5,-3.2,-4.8,-10.9,-8,
Senn HD 800 Or,-3.6,-2.6,-1.8,-1.2,-1,-1.5,-0.4,0.2,0.3,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.3,0,-0.4,-0.3,1.8,4.9,6.9,8.5,10.2,10.2,5.8,-1.5,-0.2,-7.2,-9.1,
Senn HD 800S Or,-4.1,-3.3,-2.6,-2,-1.8,-2,-1.1,-0.5,-0.3,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.1,0,0,-0.5,0.1,2.9,6.1,6.7,7.8,8,8,4.2,-3,1.4,-3,-11.6,
Senn HE1 Orpheus 2 Or,1.1,1.9,2,1,2.8,0.9,1,0.30,-0.7,-1.3,-1.8,-1.8,-1.4,-1.5,-1.5,-1,-1,0,0,-0.8,3.4,5.6,6.7,3.9,2.9,4.7,2,2.7,-4.5,-6.7,-10.2,
Sony MDR-7506 Or,-0.2,1.4,3.4,4.8,5.5,5.2,3.8,3.4,3.8,2.6,-0.1,0,1.3,1.1,0.8,0.6,0,0,0.7,3.2,6.5,11.1,12.6,10.8,13.2,12.8,5.7,2.4,-7.2,-13.3,-19.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
